listing_id,host_id,occupancy,price,number_of_reviews,rating,accommodates,minimum_nights,bedrooms,bathrooms,beds,host_is_superhost,pro_host,entire_home,instant_bookable
787,823,31,250,14,4.7,6,7,4,3,4,0,1,1,0
788,730,0,95,8,4.55,3,7,2,1,3,0,1,1,0
789,918,50,76,160,4.95,2,2,1,1,1,1,1,1,1
790,776,0,105,16,4.75,2,7,1,1,2,0,1,1,0
791,992,39,90,65,4.85,4,3,1,1,2,1,1,1,1
792,861,15,150,3,5,4,7,2,1,4,0,1,1,0
793,862,75,82,60,4.8,6,3,2,2,5,1,1,1,1
794,947,0,105,10,4.2,2,7,1,1,2,0,1,1,0
795,289,54,240,43,4.8,6,1,2,2,3,0,1,1,0
796,271,1,220,36,4.95,6,3,3,1.5,3,1,1,1,0
797,840,54,114,169,4.8,2,1,1,1,1,1,1,1,0
798,352,0,71,43,4.65,5,3,1,1,3,0,1,0,1
799,554,9,165,43,4.65,6,3,2,2,3,0,1,1,0
800,594,23,99,6,5,4,20,1,1,2,0,1,1,0
801,600,0,95,16,4.75,2,7,1,1,2,0,1,1,0
802,507,79,100,30,4.7,6,3,2,2,4,1,1,1,1
803,996,0,109,102,4.4,4,1,1,1,2,0,1,1,0
804,739,0,55,1,0,1,60,1,1,1,0,0,0,0
805,357,55,122,149,4.8,2,1,1,1,1,1,1,1,0
806,1007,37,58,9,4.9,4,1,1,1,2,0,0,0,0
807,820,90,250,58,4.9,8,3,4,2,6,1,1,1,0
808,613,0,149,93,4.7,3,1,1,1,1,0,1,1,0
809,966,2,133,6,4.65,4,1,1,1,2,0,1,0,1
810,247,90,124,6,4.35,4,1,1,1,2,0,1,0,1
811,548,0,107,13,4.65,4,1,1,1,2,0,1,0,1
812,690,3,81,6,4.35,2,5,1,1,1,0,1,1,0
813,932,0,106,50,4.55,2,1,1,1,1,0,1,0,1
814,97,31,123,15,4.45,4,1,1,1,2,0,1,0,1
815,835,50,67,37,4.95,3,4,1,1,2,1,1,1,0
816,993,3,106,1,0,6,30,2,2,8,0,1,1,0
817,1093,28,158,98,4.9,6,3,2,2,3,0,1,1,0
818,311,14,81,25,4.75,2,3,1,1,1,0,0,0,0
819,123,0,55,87,5,2,1,1,1,1,1,0,0,0
820,961,30,60,38,4.9,2,1,1,1,1,1,0,0,0
821,316,30,143,1,5,4,2,1,1,2,0,1,1,0
822,612,30,110,16,4.65,3,2,1,1,1,0,0,1,0
823,412,27,77,186,4.75,4,2,1,1,1,1,1,1,1
824,763,58,49,219,4.85,4,1,1,1,3,1,0,1,1
825,292,6,89,108,4.85,4,3,1,1,3,0,0,1,0
826,206,81,65,10,5,1,2,1,1,1,0,0,0,0
827,491,6,150,4,5,6,3,2,1,3,0,0,1,0
828,311,15,161,17,4.95,4,6,2,1,5,1,1,1,0
829,820,21,259,18,4.8,6,2,2,2,3,0,1,1,0
830,950,25,57,146,4.85,3,3,1,1,2,1,0,1,0
831,377,0,138,24,4.65,6,2,2,2,3,0,1,1,1
832,267,10,88,117,4.7,2,2,1,1,1,0,0,1,0
833,764,26,64,106,4.95,4,3,1,1,1,1,1,1,1
